,four,one,three,two
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d11949759-Reviews-City_Wheels_Paris_Tours-Paris_Ile_de_France.html,City Wheels Paris Tours,"Visites guidées, Visites privées",93
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3927286-Reviews-My_Hush_Hush_Paris_Walking_Tours-Paris_Ile_de_France.html,My Hush-Hush Paris Walking Tours,Visites pédestres,218
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7258655-Reviews-Un_Bateau_a_Paris-Paris_Ile_de_France.html,Un Bateau à Paris,Croisières,68
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10045280-Reviews-Guide_in_Paris_Olga_Kuksa-Paris_Ile_de_France.html,Guide in Paris Olga Kuksa,Visites pédestres,57
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2038991-Reviews-Meeting_the_French-Paris_Ile_de_France.html,Meeting the French,"Visites pédestres, Visites guidées",135
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1495134-Reviews-Photo_Tours_In_Paris-Paris_Ile_de_France.html,Photo Tours In Paris,Circuits photographiques,229
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7317510-Reviews-Weshoot_Paris_Photo_Sessions-Paris_Ile_de_France.html,Weshoot Paris Photo Sessions,Circuits photographiques,66
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2038980-Reviews-Paris_Trip-Paris_Ile_de_France.html,Paris Trip,Visites culturelles,445
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3160916-Reviews-Chic_Shopping_Paris_Day_Tours-Paris_Ile_de_France.html,Chic Shopping Paris Day Tours,Circuits shopping,81
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d6696313-Reviews-Ornicom-Paris_Ile_de_France.html,Ornicom,"Visites guidées, Visites en Segway",57
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8295548-Reviews-Interkultur_Day_Tours-Paris_Ile_de_France.html,Interkultur - Day Tours,Visites de la ville,59
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2038978-Reviews-Paris_Canal-Paris_Ile_de_France.html,Paris Canal,"Croisières, Locations de bateaux",427
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7000992-Reviews-Marin_d_Eau_Douce-Paris_Ile_de_France.html,Marin d'Eau Douce,Locations de bateaux,632
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7802702-Reviews-Rent_Go-Paris_Ile_de_France.html,Rent & Go,Visites nocturnes,92
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10193001-Reviews-Paris_Safari-Paris_Ile_de_France.html,Paris Safari,"Excursions à vélo, Visites guidées",116
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12258075-Reviews-Mavisite_paris-Paris_Ile_de_France.html,Mavisite.paris,"Visites de la ville, Visites privées",Mite.paris
